bedrooms,bathrooms,toilets,parking_space,title,town,state,price,lat,lon,town_state
3,4,4,5,Detached Bungalow,Lokogoma District,Abuja,35000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
9,9,9,2,Block of Flats,Utako,Abuja,400000000.0,9.06911,7.44353,"Utako, Abuja"
5,5,6,1,Detached Duplex,Katampe,Abuja,450000000.0,9.102851,7.461718,"Katampe, Abuja"
6,6,6,4,Terraced Duplexes,Wuye,Abuja,75000000.0,9.085215,7.495284,"Wuye, Abuja"
3,4,4,4,Detached Bungalow,Galadimawa,Abuja,28000000.0,8.992227,7.424376,"Galadimawa, Abuja"
4,5,5,4,Block of Flats,Utako,Abuja,400000000.0,9.06911,7.44353,"Utako, Abuja"
4,4,5,6,Detached Duplex,Apo,Abuja,36000000.0,9.019972,7.478024,"Apo, Abuja"
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.067538,7.404183,"Life Camp, Abuja"
8,8,9,4,Detached Duplex,Maitama District,Abuja,1500000000.0,9.090099,7.490805,"Maitama District, Abuja"
5,5,6,4,Detached Duplex,Kubwa,Abuja,71000000.0,9.152675,7.341078,"Kubwa, Abuja"
4,5,5,4,Terraced Duplexes,Wuye,Abuja,55000000.0,9.085215,7.495284,"Wuye, Abuja"
4,5,5,4,Terraced Duplexes,Karmo,Abuja,37000000.0,9.050306,7.376389,"Karmo, Abuja"
5,5,6,8,Semi Detached Duplex,Gwarinpa,Abuja,190000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,5,5,4,Terraced Duplexes,Wuye,Abuja,55000000.0,9.085215,7.495284,"Wuye, Abuja"
5,6,6,7,Detached Duplex,Life Camp,Abuja,70000000.0,9.067538,7.404183,"Life Camp, Abuja"
3,3,4,1,Detached Bungalow,Gwarinpa,Abuja,55000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
6,6,7,6,Detached Duplex,Asokoro District,Abuja,850000000.0,9.042346,7.519686,"Asokoro District, Abuja"
4,5,5,4,Detached Duplex,Apo,Abuja,49000000.0,9.019972,7.478024,"Apo, Abuja"
4,4,5,4,Terraced Duplexes,Lugbe District,Abuja,40000000.0,8.964455,7.382618,"Lugbe District, Abuja"
4,5,5,6,Detached Bungalow,Lokogoma District,Abuja,60000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
4,4,5,4,Detached Duplex,Asokoro District,Abuja,120000000.0,9.042346,7.519686,"Asokoro District, Abuja"
5,5,6,4,Semi Detached Duplex,Mbora (Nbora),Abuja,50000000.0,9.051923,7.395078,"Mbora (Nbora), Abuja"
6,6,7,4,Semi Detached Duplex,Guzape District,Abuja,65000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,4,5,4,Terraced Duplexes,Life Camp,Abuja,120000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,4,5,3,Terraced Duplexes,Jabi,Abuja,75000000.0,9.064106,7.42294,"Jabi, Abuja"
4,4,5,4,Terraced Duplexes,Katampe,Abuja,68000000.0,9.102851,7.461718,"Katampe, Abuja"
4,4,5,4,Terraced Duplexes,Life Camp,Abuja,78000000.0,9.067538,7.404183,"Life Camp, Abuja"
6,6,7,4,Terraced Duplexes,Katampe,Abuja,90000000.0,9.102851,7.461718,"Katampe, Abuja"
3,5,5,4,Block of Flats,Apo,Abuja,35000000.0,9.019972,7.478024,"Apo, Abuja"
5,6,7,1,Detached Duplex,Jahi,Abuja,80000000.0,9.109621,7.438754,"Jahi, Abuja"
4,5,5,1,Semi Detached Duplex,Kado,Abuja,120000000.0,9.088854,7.425753,"Kado, Abuja"
5,5,6,4,Detached Duplex,Jahi,Abuja,135000000.0,9.109621,7.438754,"Jahi, Abuja"
5,8,7,1,Detached Duplex,Garki,Abuja,280000000.0,9.031896,7.482812,"Garki, Abuja"
3,5,5,4,Block of Flats,Mpape,Abuja,100000000.0,9.147724,7.495624,"Mpape, Abuja"
5,5,5,4,Detached Duplex,Maitama District,Abuja,900000000.0,9.090099,7.490805,"Maitama District, Abuja"
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.067538,7.404183,"Life Camp, Abuja"
3,3,4,4,Terraced Duplexes,Wuse 2,Abuja,150000000.0,9.078749,7.470186,"Wuse 2, Abuja"
4,4,5,5,Semi Detached Duplex,Apo,Abuja,23000000.0,9.019972,7.478024,"Apo, Abuja"
4,3,5,1,Detached Duplex,Maitama District,Abuja,250000000.0,9.090099,7.490805,"Maitama District, Abuja"
4,4,5,4,Terraced Duplexes,Wuye,Abuja,70000000.0,9.085215,7.495284,"Wuye, Abuja"
4,5,5,4,Detached Duplex,Jahi,Abuja,85000000.0,9.109621,7.438754,"Jahi, Abuja"
3,5,5,4,Block of Flats,Katampe,Abuja,1800000000.0,9.102851,7.461718,"Katampe, Abuja"
5,5,5,4,Detached Duplex,Wuye,Abuja,168000000.0,9.085215,7.495284,"Wuye, Abuja"
3,3,4,4,Terraced Duplexes,Katampe,Abuja,80000000.0,9.102851,7.461718,"Katampe, Abuja"
3,3,3,3,Block of Flats,Gaduwa,Abuja,25000000.0,8.997222,7.4675,"Gaduwa, Abuja"
4,4,5,4,Semi Detached Duplex,Maitama District,Abuja,190000000.0,9.090099,7.490805,"Maitama District, Abuja"
4,4,5,4,Terraced Duplexes,Life Camp,Abuja,29900000.0,9.067538,7.404183,"Life Camp, Abuja"
3,5,5,3,Block of Flats,Wuye,Abuja,45000000.0,9.085215,7.495284,"Wuye, Abuja"
5,5,6,4,Semi Detached Duplex,Wuye,Abuja,75000000.0,9.085215,7.495284,"Wuye, Abuja"
3,4,4,4,Detached Bungalow,Gwarinpa,Abuja,55000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
6,6,7,1,Detached Duplex,Jahi,Abuja,250000000.0,9.109621,7.438754,"Jahi, Abuja"
4,4,6,4,Terraced Duplexes,Guzape District,Abuja,75000000.0,9.011248,7.507273,"Guzape District, Abuja"
7,8,8,1,Detached Duplex,Guzape District,Abuja,550000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,4,5,8,Semi Detached Duplex,Lokogoma District,Abuja,65000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
4,5,5,4,Terraced Duplexes,Mbora (Nbora),Abuja,50000000.0,9.051923,7.395078,"Mbora (Nbora), Abuja"
5,5,5,4,Detached Duplex,Life Camp,Abuja,35000000.0,9.067538,7.404183,"Life Camp, Abuja"
5,5,5,4,Terraced Duplexes,Wuse 2,Abuja,180000000.0,9.078749,7.470186,"Wuse 2, Abuja"
5,6,6,5,Detached Duplex,Katampe,Abuja,450000000.0,9.102851,7.461718,"Katampe, Abuja"
3,3,4,4,Terraced Duplexes,Asokoro District,Abuja,30000000.0,9.042346,7.519686,"Asokoro District, Abuja"
5,5,5,6,Terraced Duplexes,Jabi,Abuja,50000000.0,9.064106,7.42294,"Jabi, Abuja"
5,5,6,6,Detached Duplex,Lokogoma District,Abuja,60000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
7,7,8,4,Detached Duplex,Asokoro District,Abuja,650000000.0,9.042346,7.519686,"Asokoro District, Abuja"
4,5,6,4,Semi Detached Duplex,Utako,Abuja,85000000.0,9.06911,7.44353,"Utako, Abuja"
7,5,5,4,Detached Duplex,Maitama District,Abuja,850000000.0,9.090099,7.490805,"Maitama District, Abuja"
5,5,5,4,Detached Duplex,Lugbe District,Abuja,115000000.0,8.964455,7.382618,"Lugbe District, Abuja"
3,3,4,2,Block of Flats,Garki,Abuja,450000000.0,9.031896,7.482812,"Garki, Abuja"
5,5,6,4,Detached Duplex,Wuse 2,Abuja,450000000.0,9.078749,7.470186,"Wuse 2, Abuja"
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,60000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.067538,7.404183,"Life Camp, Abuja"
3,3,4,4,Terraced Duplexes,Life Camp,Abuja,21000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,4,5,4,Detached Bungalow,Lokogoma District,Abuja,35000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
2,2,3,3,Semi Detached Bungalow,Mbora (Nbora),Abuja,25000000.0,9.051923,7.395078,"Mbora (Nbora), Abuja"
5,5,6,1,Detached Duplex,Gwarinpa,Abuja,400000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,4,5,4,Semi Detached Duplex,Gwarinpa,Abuja,55000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,4,5,4,Terraced Duplexes,Idu Industrial,Abuja,45000000.0,9.032499,7.389477,"Idu Industrial, Abuja"
4,4,5,6,Semi Detached Duplex,Guzape District,Abuja,100000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,4,5,4,Detached Duplex,Katampe,Abuja,220000000.0,9.102851,7.461718,"Katampe, Abuja"
4,4,4,4,Terraced Duplexes,Life Camp,Abuja,23000000.0,9.067538,7.404183,"Life Camp, Abuja"
3,6,4,6,Detached Bungalow,Lokogoma District,Abuja,50000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
3,3,4,3,Terraced Duplexes,Gwarinpa,Abuja,45000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
3,5,5,4,Terraced Duplexes,Mbora (Nbora),Abuja,23000000.0,9.051923,7.395078,"Mbora (Nbora), Abuja"
4,4,5,5,Terraced Duplexes,Wuye,Abuja,65000000.0,9.085215,7.495284,"Wuye, Abuja"
5,5,6,4,Detached Duplex,Katampe,Abuja,85000000.0,9.102851,7.461718,"Katampe, Abuja"
3,3,4,7,Detached Bungalow,Apo,Abuja,28000000.0,9.019972,7.478024,"Apo, Abuja"
4,4,5,3,Terraced Duplexes,Katampe,Abuja,75000000.0,9.102851,7.461718,"Katampe, Abuja"
4,5,5,4,Terraced Duplexes,Jahi,Abuja,55000000.0,9.109621,7.438754,"Jahi, Abuja"
6,6,7,3,Terraced Duplexes,Guzape District,Abuja,130000000.0,9.011248,7.507273,"Guzape District, Abuja"
5,6,6,4,Detached Duplex,Gwarinpa,Abuja,110000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,5,5,4,Detached Duplex,Gwarinpa,Abuja,90000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
5,5,6,4,Detached Duplex,Mabushi,Abuja,120000000.0,9.083767,7.44939,"Mabushi, Abuja"
4,5,5,7,Detached Duplex,Lokogoma District,Abuja,30000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
5,5,5,4,Detached Duplex,Asokoro District,Abuja,350000000.0,9.042346,7.519686,"Asokoro District, Abuja"
7,7,7,4,Detached Duplex,Asokoro District,Abuja,750000000.0,9.042346,7.519686,"Asokoro District, Abuja"
2,3,3,2,Detached Bungalow,Guzape District,Abuja,7000000.0,9.011248,7.507273,"Guzape District, Abuja"
9,1,1,1,Detached Duplex,Katampe,Abuja,250000000.0,9.102851,7.461718,"Katampe, Abuja"
5,5,6,4,Semi Detached Duplex,Gudu,Abuja,110000000.0,9.008361,7.477578,"Gudu, Abuja"
2,5,3,1,Block of Flats,Gwarinpa,Abuja,130000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,4,5,3,Detached Duplex,Kafe,Abuja,20000000.0,9.088322,7.431731,"Kafe, Abuja"
5,5,6,8,Detached Duplex,Guzape District,Abuja,120000000.0,9.011248,7.507273,"Guzape District, Abuja"
9,5,5,4,Detached Duplex,Maitama District,Abuja,850000000.0,9.090099,7.490805,"Maitama District, Abuja"
3,3,4,4,Terraced Duplexes,Asokoro District,Abuja,50000000.0,9.042346,7.519686,"Asokoro District, Abuja"
4,4,5,4,Terraced Duplexes,Katampe,Abuja,55000000.0,9.102851,7.461718,"Katampe, Abuja"
4,4,5,3,Terraced Duplexes,Wuse 2,Abuja,220000000.0,9.078749,7.470186,"Wuse 2, Abuja"
5,6,6,1,Detached Duplex,Gwarinpa,Abuja,220000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,5,6,2,Terraced Duplexes,Life Camp,Abuja,50000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,5,5,4,Terraced Duplexes,Mabushi,Abuja,40000000.0,9.083767,7.44939,"Mabushi, Abuja"
3,3,4,3,Terraced Duplexes,Lugbe District,Abuja,25000000.0,8.964455,7.382618,"Lugbe District, Abuja"
3,4,4,5,Detached Bungalow,Lokogoma District,Abuja,35000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
3,3,4,4,Terraced Duplexes,Karsana,Abuja,23500000.0,9.105773,7.36381,"Karsana, Abuja"
4,5,5,4,Detached Duplex,Katampe,Abuja,250000000.0,9.102851,7.461718,"Katampe, Abuja"
6,5,5,4,Semi Detached Duplex,Katampe,Abuja,160000000.0,9.102851,7.461718,"Katampe, Abuja"
5,5,6,6,Detached Duplex,Apo,Abuja,195000000.0,9.019972,7.478024,"Apo, Abuja"
3,3,4,5,Semi Detached Duplex,Karsana,Abuja,25000000.0,9.105773,7.36381,"Karsana, Abuja"
6,8,8,8,Semi Detached Duplex,Gwarinpa,Abuja,180000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,4,4,4,Detached Duplex,Life Camp,Abuja,50000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,5,6,4,Terraced Duplexes,Jahi,Abuja,80000000.0,9.109621,7.438754,"Jahi, Abuja"
3,3,3,4,Detached Bungalow,Lokogoma District,Abuja,35000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
4,4,5,3,Semi Detached Duplex,Wuye,Abuja,170000000.0,9.085215,7.495284,"Wuye, Abuja"
4,5,5,4,Terraced Duplexes,Guzape District,Abuja,87000000.0,9.011248,7.507273,"Guzape District, Abuja"
5,5,6,4,Semi Detached Duplex,Gwarinpa,Abuja,90000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
5,5,6,1,Detached Bungalow,Asokoro District,Abuja,360000000.0,9.042346,7.519686,"Asokoro District, Abuja"
4,4,5,1,Detached Bungalow,Lugbe District,Abuja,30000000.0,8.964455,7.382618,"Lugbe District, Abuja"
5,5,6,4,Semi Detached Duplex,Wuye,Abuja,65000000.0,9.085215,7.495284,"Wuye, Abuja"
4,4,5,5,Detached Duplex,Lugbe District,Abuja,32000000.0,8.964455,7.382618,"Lugbe District, Abuja"
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.067538,7.404183,"Life Camp, Abuja"
3,5,5,3,Terraced Duplexes,Apo,Abuja,55000000.0,9.019972,7.478024,"Apo, Abuja"
4,4,5,4,Detached Bungalow,Lokogoma District,Abuja,60000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
7,5,5,4,Detached Duplex,Maitama District,Abuja,780000000.0,9.090099,7.490805,"Maitama District, Abuja"
4,4,5,5,Terraced Duplexes,Life Camp,Abuja,45000000.0,9.067538,7.404183,"Life Camp, Abuja"
5,5,4,4,Detached Duplex,Lokogoma District,Abuja,48000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
4,4,5,3,Semi Detached Duplex,Galadimawa,Abuja,35000000.0,8.992227,7.424376,"Galadimawa, Abuja"
5,4,6,9,Detached Duplex,Gwarinpa,Abuja,170000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
8,9,9,1,Detached Duplex,Guzape District,Abuja,650000000.0,9.011248,7.507273,"Guzape District, Abuja"
5,5,5,4,Detached Bungalow,Life Camp,Abuja,32000000.0,9.067538,7.404183,"Life Camp, Abuja"
5,5,6,4,Detached Duplex,Guzape District,Abuja,190000000.0,9.011248,7.507273,"Guzape District, Abuja"
2,2,3,4,Block of Flats,Maitama District,Abuja,72479995.0,9.090099,7.490805,"Maitama District, Abuja"
4,5,5,1,Detached Duplex,Central Business District,Abuja,85000000.0,9.058593,7.489413,"Central Business District, Abuja"
4,4,5,4,Detached Duplex,Gwarinpa,Abuja,185000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
5,5,6,4,Detached Duplex,Katampe,Abuja,220000000.0,9.102851,7.461718,"Katampe, Abuja"
5,6,7,3,Terraced Duplexes,Katampe,Abuja,3350000.0,9.102851,7.461718,"Katampe, Abuja"
5,6,6,4,Detached Duplex,Karsana,Abuja,140000000.0,9.105773,7.36381,"Karsana, Abuja"
4,5,6,3,Terraced Duplexes,Gudu,Abuja,70000000.0,9.008361,7.477578,"Gudu, Abuja"
5,5,6,4,Detached Duplex,Guzape District,Abuja,250000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,5,5,4,Block of Flats,Maitama District,Abuja,600000000.0,9.090099,7.490805,"Maitama District, Abuja"
5,5,6,3,Detached Duplex,Katampe,Abuja,200000000.0,9.102851,7.461718,"Katampe, Abuja"
4,4,5,8,Detached Duplex,Orozo,Abuja,15000000.0,8.9001,7.5728,"Orozo, Abuja"
4,5,5,4,Detached Duplex,Life Camp,Abuja,120000000.0,9.067538,7.404183,"Life Camp, Abuja"
5,5,6,1,Detached Duplex,Gwarinpa,Abuja,170000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,5,5,4,Terraced Duplexes,Guzape District,Abuja,60000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,5,5,4,Block of Flats,Kado,Abuja,45000000.0,9.088854,7.425753,"Kado, Abuja"
4,4,6,6,Semi Detached Duplex,Apo,Abuja,85000000.0,9.019972,7.478024,"Apo, Abuja"
5,6,6,4,Detached Duplex,Katampe,Abuja,220000000.0,9.102851,7.461718,"Katampe, Abuja"
4,4,5,6,Detached Bungalow,Lokogoma District,Abuja,40000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
4,5,5,4,Terraced Duplexes,Guzape District,Abuja,73000000.0,9.011248,7.507273,"Guzape District, Abuja"
5,5,6,3,Terraced Duplexes,Lokogoma District,Abuja,55000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
2,2,3,2,Block of Flats,Apo,Abuja,16500000.0,9.019972,7.478024,"Apo, Abuja"
5,5,6,3,Terraced Duplexes,Guzape District,Abuja,85000000.0,9.011248,7.507273,"Guzape District, Abuja"
3,4,4,6,Semi Detached Bungalow,Dakwo,Abuja,28000000.0,8.961023,7.440529,"Dakwo, Abuja"
6,6,7,4,Detached Duplex,Maitama District,Abuja,650000000.0,9.090099,7.490805,"Maitama District, Abuja"
5,6,7,4,Terraced Duplexes,Guzape District,Abuja,85000000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,4,5,4,Terraced Duplexes,Guzape District,Abuja,85000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,5,4,4,Block of Flats,Utako,Abuja,360000000.0,9.06911,7.44353,"Utako, Abuja"
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,4,4,3,Terraced Duplexes,Katampe,Abuja,1200000000.0,9.102851,7.461718,"Katampe, Abuja"
3,4,4,8,Detached Bungalow,Lokogoma District,Abuja,30000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
3,3,4,4,Block of Flats,Gwarinpa,Abuja,30000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
5,5,6,6,Detached Duplex,Durumi,Abuja,130000000.0,9.022263,7.46707,"Durumi, Abuja"
4,5,5,7,Terraced Duplexes,Kaura,Abuja,45000000.0,9.003157,7.445613,"Kaura, Abuja"
3,6,4,6,Detached Bungalow,Lokogoma District,Abuja,50000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
3,3,4,8,Detached Bungalow,Lugbe District,Abuja,30000000.0,8.964455,7.382618,"Lugbe District, Abuja"
6,6,7,5,Detached Duplex,Gwarinpa,Abuja,220000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,5,5,4,Terraced Duplexes,Jahi,Abuja,58000000.0,9.109621,7.438754,"Jahi, Abuja"
5,5,6,4,Detached Duplex,Maitama District,Abuja,850000000.0,9.090099,7.490805,"Maitama District, Abuja"
4,5,6,4,Terraced Duplexes,Life Camp,Abuja,70000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,5,5,4,Terraced Duplexes,Jahi,Abuja,75000000.0,9.109621,7.438754,"Jahi, Abuja"
4,4,6,4,Terraced Duplexes,Guzape District,Abuja,50000000.0,9.011248,7.507273,"Guzape District, Abuja"
6,8,9,2,Detached Duplex,Garki,Abuja,150000000.0,9.031896,7.482812,"Garki, Abuja"
3,3,4,7,Detached Bungalow,Bwari,Abuja,28000000.0,9.28559,7.378669,"Bwari, Abuja"
7,7,9,1,Detached Duplex,Maitama District,Abuja,1300000000.0,9.090099,7.490805,"Maitama District, Abuja"
5,6,6,4,Terraced Duplexes,Jabi,Abuja,125000000.0,9.064106,7.42294,"Jabi, Abuja"
5,5,6,3,Detached Duplex,Guzape District,Abuja,135000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,4,5,4,Terraced Duplexes,Life Camp,Abuja,42000000.0,9.067538,7.404183,"Life Camp, Abuja"
5,6,6,4,Terraced Duplexes,Mabushi,Abuja,160000000.0,9.083767,7.44939,"Mabushi, Abuja"
4,5,5,6,Terraced Duplexes,Jahi,Abuja,70000000.0,9.109621,7.438754,"Jahi, Abuja"
5,6,6,4,Terraced Duplexes,Gaduwa,Abuja,35000000.0,8.997222,7.4675,"Gaduwa, Abuja"
4,4,5,4,Terraced Duplexes,Galadimawa,Abuja,38000000.0,8.992227,7.424376,"Galadimawa, Abuja"
1,5,1,1,Detached Duplex,Guzape District,Abuja,1200000000.0,9.011248,7.507273,"Guzape District, Abuja"
